Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",106.790000,-76.190000,-90.000000,top
"C2","0.1uF","C_0201_0603Metric",115.760000,-64.945000,90.000000,top
"C3","0.01u","R_0402_1005Metric",128.946200,-78.780000,0.000000,top
"C4","0.01u","R_0402_1005Metric",126.820000,-78.730000,180.000000,top
"C5","0.01u","R_0402_1005Metric",136.696200,-80.440000,0.000000,top
"C6","0.1u","R_0402_1005Metric",136.686200,-79.450000,0.000000,top
"C7","100n","C_0201_0603Metric",109.495000,-72.380000,0.000000,top
"C8","10n","R_0402_1005Metric",130.876200,-82.490000,0.000000,top
"C9","10n","R_0402_1005Metric",130.876200,-81.550000,0.000000,top
"C10","10n","R_0402_1005Metric",137.516200,-81.650000,0.000000,top
"C11","0.01u","R_0402_1005Metric",135.626200,-84.530000,-90.000000,top
"C12","0.1u","C_0201_0603Metric",136.546200,-84.980000,-90.000000,top
"C13","0.01u","R_0402_1005Metric",131.226200,-80.230000,180.000000,top
"C14","0.01u","R_0402_1005Metric",131.576200,-83.490000,180.000000,top
"C15","0.1u","C_0201_0603Metric",127.026200,-79.730000,180.000000,top
"C16","0.1u","C_0201_0603Metric",128.716200,-79.700000,0.000000,top
"C17","0.1u","C_0603_1608Metric",117.075000,-73.780000,180.000000,top
"C18","0.1u","C_0603_1608Metric",114.070000,-75.300000,180.000000,top
"C19","10u","C_0603_1608Metric",113.820000,-79.870000,90.000000,top
"C20","0.1u","C_0603_1608Metric",115.330000,-79.880000,90.000000,top
"J1","Conn_Coaxial","142-0741-851SMA",140.590000,-81.610000,0.000000,top
"J2","CON-SMA-EDGE-S","RFSOLUTIONS_CON-SMA-EDGE-S",99.250000,-64.310000,0.000000,top
"J3","ExternalSPI","PinHeader_1x04_P2.54mm_Vertical",130.960000,-58.400000,90.000000,top
"J4","UPDI Programmer","PinHeader_1x03_P2.54mm_Vertical",114.845000,-58.390000,-90.000000,top
"J5","GSB1C41110SSHR","AMPHENOL_GSB1C41110SSHR",100.460000,-84.030000,-90.000000,top
"R1","5k1","R_0603_1608Metric",106.960000,-84.110000,-90.000000,top
"R2","4k7","R_0603_1608Metric",127.710000,-61.030000,-90.000000,top
"R3","2k","R_0603_1608Metric",117.070000,-75.290000,0.000000,top
"R4","2k","R_0603_1608Metric",114.075000,-73.790000,0.000000,top
"R5","10k","R_0603_1608Metric",124.926200,-84.495000,90.000000,top
"R6","10k","R_0603_1608Metric",123.086200,-84.500000,-90.000000,top
"R7","100k","R_0603_1608Metric",128.476200,-86.135000,-90.000000,top
"R8","4k7","R_0603_1608Metric",133.096200,-85.900000,-90.000000,top
"R9","2k","R_0603_1608Metric",134.646200,-87.005000,-90.000000,top
"R10","50","R_0402_1005Metric",136.676200,-83.320000,-90.000000,top
"R11","10k","R_0201_0603Metric",135.881200,-76.830000,180.000000,top
"R12","4.7k","R_0201_0603Metric",135.866200,-77.830000,0.000000,top
"R13","5k1","R_0603_1608Metric",107.050000,-88.705000,-90.000000,top
"R14","4k7","R_0603_1608Metric",119.880000,-58.510000,0.000000,top
"R21","0","R_0603_1608Metric",108.400000,-65.730000,-90.000000,top
"R22","0","R_0603_1608Metric",113.490000,-65.930000,0.000000,top
"R23","0","R_0603_1608Metric",128.566200,-76.690000,-90.000000,top
"U1","MAX3949ETE+","CP_16_3_ADI-L",134.130000,-81.900000,90.000000,top
"U2","ADCMP607BCPZ-R7","CP_12_5_ADI-L",127.536200,-82.035100,-90.000000,top
"U3","ATTINY404-SSN","SOIC14_SL_MCH",120.870000,-64.530000,90.000000,top
"U4","LM1117MP-3.3","SOT-223-3_TabPin2",114.570000,-85.900000,-90.000000,top
